Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+1F4FB	📻	\:radio:	Radio
U+1F4FC	📼	\:vhs:	Videocassette
U+1F500	🔀	\:twisted_rightwards_arrows:	Twisted Rightwards Arrows
U+1F501	🔁	\:repeat:	Clockwise Rightwards And Leftwards Open Circle Arrows
U+1F502	🔂	\:repeat_one:	Clockwise Rightwards And Leftwards Open Circle Arrows With Circled One Overlay
U+1F503	🔃	\:arrows_clockwise:	Clockwise Downwards And Upwards Open Circle Arrows
U+1F504	🔄	\:arrows_counterclockwise:	Anticlockwise Downwards And Upwards Open Circle Arrows
U+1F505	🔅	\:low_brightness:	Low Brightness Symbol
U+1F506	🔆	\:high_brightness:	High Brightness Symbol
U+1F507	🔇	\:mute:	Speaker With Cancellation Stroke
U+1F508	🔈	\:speaker:	Speaker
U+1F509	🔉	\:sound:	Speaker With One Sound Wave
U+1F50A	🔊	\:loud_sound:	Speaker With Three Sound Waves
U+1F50B	🔋	\:battery:	Battery
U+1F50C	🔌	\:electric_plug:	Electric Plug
U+1F50D	🔍	\:mag:	Left-Pointing Magnifying Glass
U+1F50E	🔎	\:mag_right:	Right-Pointing Magnifying Glass
U+1F50F	🔏	\:lock_with_ink_pen:	Lock With Ink Pen
U+1F510	🔐	\:closed_lock_with_key:	Closed Lock With Key
U+1F511	🔑	\:key:	Key
U+1F512	🔒	\:lock:	Lock
U+1F513	🔓	\:unlock:	Open Lock
U+1F514	🔔	\:bell:	Bell
U+1F515	🔕	\:no_bell:	Bell With Cancellation Stroke
U+1F516	🔖	\:bookmark:	Bookmark
U+1F517	🔗	\:link:	Link Symbol
U+1F518	🔘	\:radio_button:	Radio Button
U+1F519	🔙	\:back:	Back With Leftwards Arrow Above
U+1F51A	🔚	\:end:	End With Leftwards Arrow Above
U+1F51B	🔛	\:on:	On With Exclamation Mark With Left Right Arrow Above
U+1F51C	🔜	\:soon:	Soon With Rightwards Arrow Above
U+1F51D	🔝	\:top:	Top With Upwards Arrow Above
U+1F51E	🔞	\:underage:	No One Under Eighteen Symbol
U+1F51F	🔟	\:keycap_ten:	Keycap Ten
U+1F520	🔠	\:capital_abcd:	Input Symbol For Latin Capital Letters
U+1F521	🔡	\:abcd:	Input Symbol For Latin Small Letters
U+1F522	🔢	\:1234:	Input Symbol For Numbers
U+1F523	🔣	\:symbols:	Input Symbol For Symbols
U+1F524	🔤	\:abc:	Input Symbol For Latin Letters
U+1F525	🔥	\:fire:	Fire
U+1F526	🔦	\:flashlight:	Electric Torch
U+1F527	🔧	\:wrench:	Wrench
U+1F528	🔨	\:hammer:	Hammer
U+1F529	🔩	\:nut_and_bolt:	Nut And Bolt
U+1F52A	🔪	\:hocho:	Hocho
U+1F52B	🔫	\:gun:	Pistol
U+1F52C	🔬	\:microscope:	Microscope
U+1F52D	🔭	\:telescope:	Telescope
U+1F52E	🔮	\:crystal_ball:	Crystal Ball
U+1F52F	🔯	\:six_pointed_star:	Six Pointed Star With Middle Dot
U+1F530	🔰	\:beginner:	Japanese Symbol For Beginner
U+1F531	🔱	\:trident:	Trident Emblem
U+1F532	🔲	\:black_square_button:	Black Square Button
U+1F533	🔳	\:white_square_button:	White Square Button
U+1F534	🔴	\:red_circle:	Large Red Circle
U+1F535	🔵	\:large_blue_circle:	Large Blue Circle
U+1F536	🔶	\:large_orange_diamond:	Large Orange Diamond
U+1F537	🔷	\:large_blue_diamond:	Large Blue Diamond
U+1F538	🔸	\:small_orange_diamond:	Small Orange Diamond
U+1F539	🔹	\:small_blue_diamond:	Small Blue Diamond
U+1F53A	🔺	\:small_red_triangle:	Up-Pointing Red Triangle
U+1F53B	🔻	\:small_red_triangle_down:	Down-Pointing Red Triangle
U+1F53C	🔼	\:arrow_up_small:	Up-Pointing Small Red Triangle
U+1F53D	🔽	\:arrow_down_small:	Down-Pointing Small Red Triangle
U+1F550	🕐	\:clock1:	Clock Face One Oclock
U+1F551	🕑	\:clock2:	Clock Face Two Oclock
U+1F552	🕒	\:clock3:	Clock Face Three Oclock
U+1F553	🕓	\:clock4:	Clock Face Four Oclock
U+1F554	🕔	\:clock5:	Clock Face Five Oclock
U+1F555	🕕	\:clock6:	Clock Face Six Oclock
U+1F556	🕖	\:clock7:	Clock Face Seven Oclock
U+1F557	🕗	\:clock8:	Clock Face Eight Oclock
U+1F558	🕘	\:clock9:	Clock Face Nine Oclock
U+1F559	🕙	\:clock10:	Clock Face Ten Oclock
U+1F55A	🕚	\:clock11:	Clock Face Eleven Oclock
U+1F55B	🕛	\:clock12:	Clock Face Twelve Oclock
U+1F55C	🕜	\:clock130:	Clock Face One-Thirty
U+1F55D	🕝	\:clock230:	Clock Face Two-Thirty
U+1F55E	🕞	\:clock330:	Clock Face Three-Thirty
U+1F55F	🕟	\:clock430:	Clock Face Four-Thirty
U+1F560	🕠	\:clock530:	Clock Face Five-Thirty
U+1F561	🕡	\:clock630:	Clock Face Six-Thirty
U+1F562	🕢	\:clock730:	Clock Face Seven-Thirty
U+1F563	🕣	\:clock830:	Clock Face Eight-Thirty
U+1F564	🕤	\:clock930:	Clock Face Nine-Thirty
U+1F565	🕥	\:clock1030:	Clock Face Ten-Thirty
U+1F566	🕦	\:clock1130:	Clock Face Eleven-Thirty
U+1F567	🕧	\:clock1230:	Clock Face Twelve-Thirty
U+1F5FB	🗻	\:mount_fuji:	Mount Fuji
U+1F5FC	🗼	\:tokyo_tower:	Tokyo Tower
U+1F5FD	🗽	\:statue_of_liberty:	Statue Of Liberty
U+1F5FE	🗾	\:japan:	Silhouette Of Japan
U+1F5FF	🗿	\:moyai:	Moyai
U+1F600	😀	\:grinning:	Grinning Face
U+1F601	😁	\:grin:	Grinning Face With Smiling Eyes
U+1F602	😂	\:joy:	Face With Tears Of Joy
U+1F603	😃	\:smiley:	Smiling Face With Open Mouth
U+1F604	😄	\:smile:	Smiling Face With Open Mouth And Smiling Eyes
U+1F605	😅	\:sweat_smile:	Smiling Face With Open Mouth And Cold Sweat
U+1F606	😆	\:laughing:	Smiling Face With Open Mouth And Tightly-Closed Eyes
U+1F607	😇	\:innocent:	Smiling Face With Halo
U+1F608	😈	\:smiling_imp:	Smiling Face With Horns
U+1F609	😉	\:wink:	Winking Face
U+1F60A	😊	\:blush:	Smiling Face With Smiling Eyes
U+1F60B	😋	\:yum:	Face Savouring Delicious Food
U+1F60C	😌	\:relieved:	Relieved Face
U+1F60D	😍	\:heart_eyes:	Smiling Face With Heart-Shaped Eyes
U+1F60E	😎	\:sunglasses:	Smiling Face With Sunglasses
U+1F60F	😏	\:smirk:	Smirking Face
U+1F610	😐	\:neutral_face:	Neutral Face
U+1F611	😑	\:expressionless:	Expressionless Face
U+1F612	😒	\:unamused:	Unamused Face
U+1F613	😓	\:sweat:	Face With Cold Sweat
U+1F614	😔	\:pensive:	Pensive Face
U+1F615	😕	\:confused:	Confused Face
U+1F616	😖	\:confounded:	Confounded Face
U+1F617	😗	\:kissing:	Kissing Face
U+1F618	😘	\:kissing_heart:	Face Throwing A Kiss
U+1F619	😙	\:kissing_smiling_eyes:	Kissing Face With Smiling Eyes
U+1F61A	😚	\:kissing_closed_eyes:	Kissing Face With Closed Eyes
U+1F61B	😛	\:stuck_out_tongue:	Face With Stuck-Out Tongue
U+1F61C	😜	\:stuck_out_tongue_winking_eye:	Face With Stuck-Out Tongue And Winking Eye
U+1F61D	😝	\:stuck_out_tongue_closed_eyes:	Face With Stuck-Out Tongue And Tightly-Closed Eyes
U+1F61E	😞	\:disappointed:	Disappointed Face
U+1F61F	😟	\:worried:	Worried Face
U+1F620	😠	\:angry:	Angry Face
U+1F621	😡	\:rage:	Pouting Face
U+1F622	😢	\:cry:	Crying Face
U+1F623	😣	\:persevere:	Persevering Face
U+1F624	😤	\:triumph:	Face With Look Of Triumph
U+1F625	😥	\:disappointed_relieved:	Disappointed But Relieved Face
U+1F626	😦	\:frowning:	Frowning Face With Open Mouth
U+1F627	😧	\:anguished:	Anguished Face
U+1F628	😨	\:fearful:	Fearful Face
U+1F629	😩	\:weary:	Weary Face
U+1F62A	😪	\:sleepy:	Sleepy Face
U+1F62B	😫	\:tired_face:	Tired Face
U+1F62C	😬	\:grimacing:	Grimacing Face
U+1F62D	😭	\:sob:	Loudly Crying Face
U+1F62E	😮	\:open_mouth:	Face With Open Mouth
U+1F62F	😯	\:hushed:	Hushed Face
U+1F630	😰	\:cold_sweat:	Face With Open Mouth And Cold Sweat
U+1F631	😱	\:scream:	Face Screaming In Fear
U+1F632	😲	\:astonished:	Astonished Face
U+1F633	😳	\:flushed:	Flushed Face
U+1F634	😴	\:sleeping:	Sleeping Face
U+1F635	😵	\:dizzy_face:	Dizzy Face
U+1F636	😶	\:no_mouth:	Face Without Mouth
U+1F637	😷	\:mask:	Face With Medical Mask
U+1F638	😸	\:smile_cat:	Grinning Cat Face With Smiling Eyes
U+1F639	😹	\:joy_cat:	Cat Face With Tears Of Joy
U+1F63A	😺	\:smiley_cat:	Smiling Cat Face With Open Mouth
U+1F63B	😻	\:heart_eyes_cat:	Smiling Cat Face With Heart-Shaped Eyes
U+1F63C	😼	\:smirk_cat:	Cat Face With Wry Smile
U+1F63D	😽	\:kissing_cat:	Kissing Cat Face With Closed Eyes
U+1F63E	😾	\:pouting_cat:	Pouting Cat Face
U+1F63F	😿	\:crying_cat_face:	Crying Cat Face
U+1F640	🙀	\:scream_cat:	Weary Cat Face
U+1F645	🙅	\:no_good:	Face With No Good Gesture
U+1F646	🙆	\:ok_woman:	Face With Ok Gesture
U+1F647	🙇	\:bow:	Person Bowing Deeply
U+1F648	🙈	\:see_no_evil:	See-No-Evil Monkey
U+1F649	🙉	\:hear_no_evil:	Hear-No-Evil Monkey
U+1F64A	🙊	\:speak_no_evil:	Speak-No-Evil Monkey
U+1F64B	🙋	\:raising_hand:	Happy Person Raising One Hand
U+1F64C	🙌	\:raised_hands:	Person Raising Both Hands In Celebration
U+1F64D	🙍	\:person_frowning:	Person Frowning
U+1F64E	🙎	\:person_with_pouting_face:	Person With Pouting Face
U+1F64F	🙏	\:pray:	Person With Folded Hands
U+1F680	🚀	\:rocket:	Rocket
U+1F681	🚁	\:helicopter:	Helicopter
U+1F682	🚂	\:steam_locomotive:	Steam Locomotive
U+1F683	🚃	\:railway_car:	Railway Car
U+1F684	🚄	\:bullettrain_side:	High-Speed Train
U+1F685	🚅	\:bullettrain_front:	High-Speed Train With Bullet Nose
U+1F686	🚆	\:train2:	Train
U+1F687	🚇	\:metro:	Metro
U+1F688	🚈	\:light_rail:	Light Rail
U+1F689	🚉	\:station:	Station
U+1F68A	🚊	\:tram:	Tram
U+1F68B	🚋	\:train:	Tram Car
U+1F68C	🚌	\:bus:	Bus
U+1F68D	🚍	\:oncoming_bus:	Oncoming Bus
U+1F68E	🚎	\:trolleybus:	Trolleybus
U+1F68F	🚏	\:busstop:	Bus Stop
U+1F690	🚐	\:minibus:	Minibus
U+1F691	🚑	\:ambulance:	Ambulance
U+1F692	🚒	\:fire_engine:	Fire Engine
U+1F693	🚓	\:police_car:	Police Car
U+1F694	🚔	\:oncoming_police_car:	Oncoming Police Car
U+1F695	🚕	\:taxi:	Taxi
U+1F696	🚖	\:oncoming_taxi:	Oncoming Taxi
U+1F697	🚗	\:car:	Automobile
U+1F698	🚘	\:oncoming_automobile:	Oncoming Automobile
U+1F699	🚙	\:blue_car:	Recreational Vehicle
U+1F69A	🚚	\:truck:	Delivery Truck
U+1F69B	🚛	\:articulated_lorry:	Articulated Lorry
U+1F69C	🚜	\:tractor:	Tractor
U+1F69D	🚝	\:monorail:	Monorail
U+1F69E	🚞	\:mountain_railway:	Mountain Railway
U+1F69F	🚟	\:suspension_railway:	Suspension Railway
U+1F6A0	🚠	\:mountain_cableway:	Mountain Cableway
U+1F6A1	🚡	\:aerial_tramway:	Aerial Tramway
U+1F6A2	🚢	\:ship:	Ship
U+1F6A3	🚣	\:rowboat:	Rowboat
U+1F6A4	🚤	\:speedboat:	Speedboat
U+1F6A5	🚥	\:traffic_light:	Horizontal Traffic Light
U+1F6A6	🚦	\:vertical_traffic_light:	Vertical Traffic Light
U+1F6A7	🚧	\:construction:	Construction Sign
U+1F6A8	🚨	\:rotating_light:	Police Cars Revolving Light
U+1F6A9	🚩	\:triangular_flag_on_post:	Triangular Flag On Post
U+1F6AA	🚪	\:door:	Door
U+1F6AB	🚫	\:no_entry_sign:	No Entry Sign
U+1F6AC	🚬	\:smoking:	Smoking Symbol
U+1F6AD	🚭	\:no_smoking:	No Smoking Symbol
U+1F6AE	🚮	\:put_litter_in_its_place:	Put Litter In Its Place Symbol
U+1F6AF	🚯	\:do_not_litter:	Do Not Litter Symbol
U+1F6B0	🚰	\:potable_water:	Potable Water Symbol
U+1F6B1	🚱	\:non-potable_water:	Non-Potable Water Symbol
U+1F6B2	🚲	\:bike:	Bicycle
U+1F6B3	🚳	\:no_bicycles:	No Bicycles
U+1F6B4	🚴	\:bicyclist:	Bicyclist
U+1F6B5	🚵	\:mountain_bicyclist:	Mountain Bicyclist
U+1F6B6	🚶	\:walking:	Pedestrian
U+1F6B7	🚷	\:no_pedestrians:	No Pedestrians
U+1F6B8	🚸	\:children_crossing:	Children Crossing
U+1F6B9	🚹	\:mens:	Mens Symbol
U+1F6BA	🚺	\:womens:	Womens Symbol
U+1F6BB	🚻	\:restroom:	Restroom
U+1F6BC	🚼	\:baby_symbol:	Baby Symbol
U+1F6BD	🚽	\:toilet:	Toilet
U+1F6BE	🚾	\:wc:	Water Closet
U+1F6BF	🚿	\:shower:	Shower
U+1F6C0	🛀	\:bath:	Bath
U+1F6C1	🛁	\:bathtub:	Bathtub
U+1F6C2	🛂	\:passport_control:	Passport Control
U+1F6C3	🛃	\:customs:	Customs
U+1F6C4	🛄	\:baggage_claim:	Baggage Claim
U+1F6C5	🛅	\:left_luggage:	Left Luggage
